Product Name,Link,Vendor,Quantity,Total Price
PCB,https://jlcpcb.com/,JLCPCB,5,33.91
"M3 Heat-Set Inserts 4mm Length, 4.2mm OD",https://www.aliexpress.us/item/3256807473760054.html,AliExpress,50,1.83
1N4148 Diodes,https://www.aliexpress.us/item/3256807350544438.html,AliExpress,100,1.3
GATERON G Pro Milk Yellow Switches,https://www.aliexpress.us/item/3256806600876158.html,AliExpress,70,15.24
Keycap Set,https://www.aliexpress.us/item/3256810404509236.html,AliExpress,1,15.94
MINI NRF52840 Development Board,https://www.aliexpress.us/item/3256808382371220.html,AliExpress,2,18.92
AliExpress Fees,https://aliexpress.us/,AliExpress,1,5.68
,,,,
M3 Screws (6 - 16mm),,Self-Sourced,2,0
3D Printed Parts (~300g),,Self-Sourced,4,0
LIPO Batteries (~1000mAh),,Self-Sourced,2,0
,,,Total (USD):,92.82
